cgpa,lc_easy,lc_medium,lc_hard,contest_rating,projects,internships,communication,hire_ready_score
9.34,380,288,40,541,5,0,5,63.44
9.59,168,37,12,893,4,2,1,49.17
6.96,453,37,68,299,5,4,4,68.59
7.73,114,37,46,2246,4,3,10,64.62
6.66,123,47,43,1569,2,3,8,52.76
7.17,57,4,0,1641,1,3,3,37.73
8.01,25,74,36,840,3,2,9,50.49
9.47,357,24,10,1285,4,2,2,53.13
6.71,59,92,47,2368,1,0,8,43.33
9.47,335,13,6,644,4,3,6,54.77
8.98,249,193,37,657,3,0,4,50.23
9.18,272,171,24,2403,3,4,6,70.66
9.23,171,274,80,587,0,3,5,63.25
7.4,104,110,69,2328,2,4,1,64.61
8.82,244,100,30,1915,0,0,8,42.83
7.01,422,256,22,2314,5,2,1,67.39
8.11,487,28,58,874,2,0,6,48.5
6.15,92,263,50,2352,1,1,3,51.33
6.03,121,83,37,1013,2,2,5,44.31
8.79,432,144,41,1637,2,4,2,66.49
7.71,492,41,37,2320,2,4,4,64.15
7.94,75,240,60,1647,0,3,3,57.27
6.86,197,230,61,130,2,0,2,45.03
8.5,338,276,58,30,1,2,2,55.94
8.93,403,89,44,2333,4,0,10,62.45
9.25,483,79,54,476,5,1,5,62.67
9.93,109,150,37,1936,1,2,3,54.29
8.44,160,5,36,1386,2,3,9,53.68
8.49,17,187,15,1932,3,3,4,57.52
7.18,456,195,7,654,4,4,10,65.38
7.47,22,232,74,64,0,1,9,46.95
9.99,461,276,39,1085,4,0,3,63.55
8.05,440,13,9,1589,4,0,7,47.2
7.18,265,101,27,119,0,3,9,43.93
7.4,242,255,30,1254,4,1,1,55.76
7.67,460,96,45,1554,4,2,10,65.69
9.2,377,117,8,1287,5,0,6,53.76
9.06,290,4,35,556,0,2,9,43.71
6.85,393,108,45,2002,1,3,1,55.5
9.23,188,247,37,192,3,3,4,61.3
6.08,249,16,70,1379,5,3,10,66.67
9.29,374,93,33,2424,1,1,4,52.92
8.78,77,218,75,713,3,0,9,57.93
7.5,151,84,60,482,3,0,4,44.95
9.23,43,9,79,987,3,0,10,52.27
8.43,312,34,7,2416,5,1,4,54.94
8.63,63,215,40,127,1,3,1,49.63
7.2,454,147,66,1776,2,4,9,72.52
6.61,463,73,72,1061,3,4,1,65.79
7.9,429,252,27,1808,4,3,8,72.29
8.97,60,267,80,824,0,2,4,57.38
7.07,69,28,5,346,0,1,1,22.94
9.05,331,0,34,2086,2,2,5,54.12
6.59,257,283,52,863,5,0,10,61.81
7.75,322,138,74,306,4,2,10,65.77
6.41,278,283,56,1859,0,1,3,51.77
9.88,224,183,63,2284,5,2,7,77.61
7.65,28,224,68,576,3,0,3,50.26
6.29,428,65,75,99,0,4,4,53.49
8.74,180,234,11,20,4,1,5,50.11
8.81,192,218,25,1457,3,1,4,54.68
6.83,148,287,42,908,1,3,8,57.26
7.89,398,260,58,517,3,3,3,67.24
7.87,458,98,68,1539,2,3,5,65.64
9.28,40,69,73,1488,5,2,3,65.6
7.88,63,263,34,2128,5,0,9,61.67
8.82,265,210,2,664,4,3,2,57.56
7.51,165,115,4,1832,4,0,1,42.84
8.11,163,152,76,61,3,1,10,57.15
9.4,82,188,18,1245,2,3,10,58.24
7.97,339,47,54,1674,3,0,1,49.56
6.42,10,59,79,1803,1,1,5,46.63
9.38,208,267,80,461,3,3,1,70.36
6.9,332,255,66,1815,1,4,1,67.45
6.63,241,293,30,2230,2,3,7,64.13
8.32,152,111,39,415,4,1,7,51.73
9.54,490,43,79,887,4,1,7,66.25
8.97,147,140,11,911,0,4,6,49.6
6.26,31,97,47,1627,3,3,7,55.97
6.75,134,38,40,204,3,1,3,39.73
8.65,377,160,10,641,4,3,9,61.92
6.79,287,47,37,2218,2,4,3,58.36
7.4,320,97,8,376,4,0,5,41.3
8.06,477,157,36,2431,0,0,8,50.51
7.18,364,271,61,488,5,4,6,77.41
9.16,141,288,50,198,4,0,7,57.76
9.66,150,165,3,1421,5,3,9,65.32
6.73,318,244,60,296,2,2,9,58.74
8.58,203,107,22,1904,3,1,1,49.68
7.45,483,149,6,748,3,3,9,57.45
9.88,402,64,46,2100,5,1,3,66.03
6.98,27,162,13,35,4,4,2,51.45
6.36,126,144,69,565,0,1,10,44.44
9.77,343,242,25,693,5,0,4,59.17
6.67,99,46,4,392,3,3,4,41.33
7.34,430,298,49,759,3,0,5,57.2
8.27,80,85,64,1975,0,0,5,43.62
7.96,81,231,11,16,0,4,10,48.58
8.26,287,27,2,812,1,1,4,34.56
8.59,364,42,63,449,1,3,4,54.54
9.17,310,172,9,1160,2,4,7,61.01
9.87,113,295,2,831,5,3,4,65.3
8.99,224,89,49,2009,1,4,9,64.85
8.36,208,20,78,285,3,2,8,57.11
8.39,96,222,70,1625,1,2,6,60.32
6.64,407,216,56,2032,2,4,8,72.06
6.4,436,202,0,1634,2,4,1,55.89
9.91,204,27,74,422,3,0,1,49.23
8.51,259,235,48,687,4,0,4,56.31
7.67,346,188,49,969,2,4,4,64.46
7.83,360,176,51,1586,4,3,5,70.12
6.86,124,57,12,2398,5,4,2,60.83
7.85,266,40,60,1922,5,4,5,72.99
9.54,30,296,19,2261,5,1,2,63.76
8.57,329,273,44,2224,0,2,7,61.47
6.76,361,102,74,387,3,4,4,64.8
7.27,185,4,59,1817,5,4,8,69.99
7.5,484,136,28,805,2,4,4,59.65
6.71,177,221,25,537,3,0,3,42.43
8.76,309,234,9,1616,0,2,9,51.98
7.08,174,226,30,992,4,0,4,49.58
6.08,92,181,11,1541,4,1,6,47.85
6.44,168,188,66,1186,5,0,7,58.71
7.07,287,288,72,1024,2,1,1,58.1
7.1,54,151,6,106,0,1,8,30.4
8.43,96,199,12,344,1,2,10,45.48
9.02,223,220,30,2170,1,4,2,63.71
8.3,121,270,61,395,0,1,7,49.6
6.32,222,5,55,1502,1,3,2,47.96
9.84,29,25,37,2196,4,2,10,61.37
6.97,22,210,67,1760,0,2,6,52.79
8.27,96,264,30,199,0,0,3,36.56
7.0,270,83,63,2346,0,4,5,60.34
8.81,79,6,12,1117,2,0,3,33.34
8.79,432,175,51,2397,1,2,3,62.64
8.92,119,96,17,1119,0,1,6,38.0
9.92,210,157,75,1363,1,1,8,59.74
9.73,253,296,6,2128,1,4,9,67.48
6.53,465,91,59,2006,2,4,9,68.73
8.92,346,265,26,852,1,4,2,61.26
8.57,432,84,45,1066,2,0,8,50.11
7.78,14,91,58,31,5,0,5,47.92
9.55,79,76,31,2053,4,0,3,50.93
9.05,171,103,44,1419,2,2,3,53.88
6.68,256,214,48,66,5,2,1,58.28
7.29,61,0,57,1679,0,0,7,36.46
6.32,91,109,29,481,5,2,1,48.82
6.51,186,158,72,2092,4,3,1,67.93
8.49,304,112,14,153,2,1,4,41.31
7.02,146,93,43,804,5,3,10,62.62
7.3,206,12,31,2104,0,3,10,48.85
9.0,421,43,8,2400,1,2,9,52.56
6.21,265,198,24,467,3,2,4,49.45
6.58,323,61,69,360,1,1,2,42.9
9.68,337,201,51,1407,5,2,8,74.48
8.8,395,56,51,1159,4,4,2,68.36
9.14,358,19,57,1583,3,0,1,51.29
6.22,174,44,76,1805,0,1,7,45.7
9.71,298,175,35,1717,5,1,3,64.87
9.64,91,43,19,110,3,1,5,41.71
9.63,319,295,66,345,4,3,3,74.67
6.78,175,146,76,2339,1,2,7,59.81
9.34,448,219,47,255,4,3,2,68.69
7.26,397,65,25,40,5,1,6,50.07
7.58,235,251,52,2253,5,0,3,64.22
9.16,322,22,48,1059,2,3,10,59.84
6.81,162,208,45,1834,0,4,1,55.81
9.24,208,272,50,860,5,2,5,70.5
7.12,80,93,20,136,2,0,6,32.53
8.0,29,143,12,1622,3,3,7,54.67
7.17,222,62,27,541,0,3,5,41.35
7.04,414,210,33,1607,5,0,9,61.22
9.63,289,258,26,660,2,0,5,50.22
7.55,107,63,26,397,5,0,3,42.3
8.95,118,0,57,1491,3,1,4,51.19
7.71,230,265,29,167,1,4,4,55.81
9.12,128,46,79,2093,0,4,7,63.81
6.79,58,215,70,1891,2,0,5,52.3
6.5,342,298,27,2294,3,4,4,70.63
8.28,73,114,66,696,3,2,4,55.95
9.92,99,294,12,1023,1,0,8,46.53
8.86,485,220,60,1112,3,0,9,63.48
9.3,79,202,69,646,0,1,7,50.72
9.8,226,139,78,591,0,1,7,53.01
7.42,279,117,18,1765,2,1,4,46.17
7.41,153,171,12,1576,3,1,4,47.41
7.28,217,127,7,1557,0,3,1,42.4
6.44,330,73,15,561,4,4,7,56.64
8.63,221,287,51,1777,3,1,1,62.2
7.59,160,16,64,1774,1,1,7,47.73
9.06,396,231,57,499,3,4,1,70.88
7.08,245,261,30,2208,1,4,8,64.98
7.08,65,152,38,453,1,1,3,38.47
6.93,260,194,55,244,1,0,8,44.07
7.51,327,277,1,337,0,3,4,46.12
9.09,358,226,50,1062,4,2,3,67.57
8.74,317,37,40,1892,0,0,5,41.6
6.58,139,241,14,1959,4,0,10,52.48
6.1,53,195,45,858,5,2,1,55.72
8.36,485,202,24,354,0,2,9,50.48
7.63,276,42,75,813,3,4,2,63.67
6.89,254,293,43,1116,2,2,3,57.09
7.78,406,259,55,2140,3,0,6,63.29
8.19,288,209,67,1636,3,4,4,74.45
8.09,115,209,44,2009,2,4,6,66.67
7.04,310,106,56,369,5,0,8,54.26
9.73,234,23,12,902,4,3,7,56.73
8.45,446,230,77,2357,4,3,7,83.85
6.31,142,93,68,1446,4,3,1,60.9
8.03,334,62,1,1604,4,0,4,44.49
6.15,209,277,60,2403,5,0,5,65.09
7.34,187,97,58,1244,1,0,10,45.4
6.96,302,88,38,2453,5,2,10,66.71
7.51,240,165,46,1580,2,0,3,47.91
9.93,172,77,53,2221,3,0,1,54.01
8.76,175,137,39,1690,5,1,4,60.62
8.31,215,91,25,2180,3,3,2,58.36
6.25,60,213,13,1736,4,4,6,61.36
7.36,482,269,4,1331,5,2,7,65.27
7.12,101,113,36,322,2,2,8,45.91
9.77,22,148,3,1392,0,3,10,48.19
9.34,328,126,24,29,0,1,8,41.33
7.63,53,190,15,633,1,2,2,40.55
9.82,117,54,46,102,4,3,7,59.45
8.74,450,89,25,1689,2,2,4,55.18
9.84,255,268,7,1423,0,1,9,49.73
6.34,413,141,7,1428,5,1,7,54.2
6.87,182,155,44,2311,4,2,10,64.85
6.12,269,293,35,1232,5,4,9,74.25
9.0,472,133,20,603,4,4,7,67.53
6.17,95,220,16,1339,4,4,1,58.52
7.85,270,78,29,1064,5,4,4,64.83
6.81,395,24,45,1816,0,2,6,47.1
6.32,489,24,29,2145,1,0,10,43.44
7.19,20,150,40,2360,5,3,7,67.39
6.72,275,88,18,311,4,4,6,55.98
8.37,76,88,10,236,2,4,3,46.8
7.33,158,251,46,2434,3,3,5,68.34
9.29,178,87,57,2478,0,3,5,59.26
9.29,414,121,79,2355,5,0,9,73.78
8.73,392,207,76,2221,3,3,1,75.9
8.85,278,213,51,320,0,1,3,46.76
9.02,124,250,13,1779,2,2,6,56.08
6.91,183,268,52,647,4,1,3,57.06
9.82,336,148,27,643,0,2,8,50.07
9.39,466,46,58,2493,0,2,5,58.92
9.99,478,78,32,2443,4,3,5,72.27
7.99,41,70,45,629,3,4,4,56.39
6.75,51,76,80,1888,4,1,5,58.16
8.99,52,187,64,692,4,3,2,65.31
6.39,448,284,31,2457,3,0,4,57.95
8.6,77,265,70,844,4,3,8,72.78
6.13,226,241,69,2153,3,3,10,72.32
7.93,232,102,55,2308,5,1,8,65.95
8.82,117,250,22,847,3,2,9,58.02
8.06,11,269,3,398,2,4,2,51.21
8.2,222,205,47,1957,4,4,10,76.79
7.01,387,252,49,375,0,2,9,52.98
6.66,263,118,67,133,3,1,8,52.09
7.01,12,267,72,738,5,3,6,70.59
6.37,12,85,26,1245,0,1,10,34.94
8.47,463,58,33,1366,3,1,2,52.07
7.09,319,16,55,575,2,3,5,52.29
8.66,150,108,42,2459,1,2,7,55.75
9.32,300,71,17,1684,1,0,7,42.7
8.91,116,69,17,1920,4,4,5,62.8
6.88,173,156,41,1333,1,2,3,47.79
8.14,294,191,39,569,0,1,4,43.96
9.66,15,169,79,704,1,1,2,51.7
8.45,175,108,42,2132,3,4,10,69.42
9.68,268,92,32,2453,5,1,8,65.89
7.67,315,72,18,1718,5,4,1,64.01
9.13,475,153,62,1526,5,1,5,70.96
9.06,110,78,39,109,1,1,10,42.5
8.78,221,148,8,1034,4,4,4,61.65
7.65,153,87,25,339,4,2,3,48.27
9.75,78,276,47,1104,2,1,8,58.77
7.45,131,184,18,2184,3,3,2,57.72
6.6,91,256,9,2381,4,3,8,63.36
9.61,32,17,79,1730,0,1,7,49.39
9.96,285,292,67,275,3,1,1,63.07
8.1,172,92,17,66,3,4,6,53.08
7.08,219,158,28,619,2,0,2,38.71
7.48,244,239,19,1585,2,4,3,60.83
9.48,282,238,8,859,3,4,8,65.93
7.4,459,212,60,2283,5,0,3,67.51
8.09,361,266,35,2442,5,0,2,64.93
7.93,218,107,50,2167,2,1,8,55.42
6.64,333,73,9,1959,0,2,1,39.05
9.65,210,84,63,1767,1,2,8,59.4
9.71,448,88,68,522,3,4,2,69.95
7.03,207,241,69,425,1,2,3,53.65
8.81,433,178,18,1862,4,4,2,70.49
7.98,95,94,11,2440,2,0,9,43.56
9.76,356,50,16,1044,1,2,3,46.39
6.39,128,195,79,396,1,1,10,50.77
7.63,231,163,62,491,0,2,2,47.56
6.8,481,140,80,1861,1,4,2,68.34
7.94,426,116,6,2417,4,2,1,58.13
8.43,299,2,37,1160,4,1,4,51.05
7.47,431,296,18,2210,3,3,4,68.14
8.39,282,9,53,857,1,4,9,57.52
8.25,410,27,28,440,2,3,1,48.9
7.53,143,280,65,199,3,0,4,52.53
8.32,482,26,56,370,4,3,8,64.62
6.61,439,221,47,2018,1,2,9,60.97
6.18,444,40,69,1363,0,1,5,45.7
8.99,299,248,73,1094,3,1,1,64.0
8.44,370,212,66,1049,3,4,5,74.35
6.74,9,186,64,2271,2,0,4,50.15
7.77,48,5,27,373,4,1,3,40.31
9.29,358,96,21,2252,1,4,8,63.09
6.33,315,97,60,1849,2,0,2,47.23
9.4,235,62,49,2041,3,2,9,63.39
9.13,105,168,74,869,3,1,8,60.76
6.17,212,300,29,2361,0,3,1,54.36
7.05,132,117,51,1763,0,2,9,49.51
8.85,10,269,63,145,1,1,5,50.26
7.41,52,146,71,126,0,3,1,47.06
7.3,443,53,14,62,0,4,1,42.18
9.58,8,175,11,761,0,1,1,35.64
8.47,42,250,61,1791,2,0,10,57.21
6.8,227,190,73,626,4,2,3,62.02
9.12,170,124,44,1577,5,3,5,69.23
8.19,119,30,31,277,4,2,10,50.9
9.06,381,44,51,1292,3,1,7,56.96
8.75,492,298,29,422,1,4,3,63.92
7.58,251,199,12,700,0,2,6,42.69
9.69,165,174,5,96,3,1,6,46.05
8.62,427,106,20,1556,3,0,1,47.79
9.93,383,176,34,1795,5,0,10,66.58
9.88,4,248,65,930,1,3,4,61.9
8.96,200,106,69,1412,0,3,6,58.2
9.17,102,168,69,771,3,0,8,55.71
8.31,472,11,10,46,2,3,5,46.42
6.64,353,76,8,1881,1,4,1,49.49
9.17,329,265,25,349,5,0,10,60.29
9.37,89,115,71,2238,2,2,3,62.03
9.65,456,242,7,2110,0,2,4,55.53
9.67,275,39,6,2178,3,4,3,60.64
7.74,448,45,66,2460,2,4,7,71.16
9.48,320,38,39,1059,0,4,3,53.65
8.41,294,184,46,507,3,2,3,57.54
6.84,105,275,28,439,2,4,10,59.37
6.41,325,50,34,481,3,2,8,48.82
7.96,44,208,0,995,5,3,2,56.17
6.36,462,21,21,169,2,1,1,35.82
9.77,390,231,15,1905,0,0,9,49.95
8.86,458,20,56,639,3,3,4,61.15
6.67,94,238,10,1684,1,2,3,44.97
6.76,486,222,12,1395,5,0,7,56.51
9.49,103,85,62,1123,0,0,6,43.14
6.12,310,251,34,939,2,4,2,59.37
6.4,78,12,22,2014,4,2,6,49.21
6.84,271,212,8,1547,0,3,3,46.93
7.7,373,276,13,1958,0,3,10,58.93
9.87,167,59,75,1183,1,1,9,54.82
7.21,442,54,7,1141,2,1,6,42.28
9.39,484,23,20,1930,4,1,7,58.16
6.91,321,67,27,1008,4,3,3,55.48
8.98,78,83,71,2385,0,0,10,50.38
9.08,55,91,51,873,5,1,5,56.98
8.12,79,77,54,1322,2,0,1,42.5
7.29,11,239,28,1802,0,2,10,49.27
6.62,395,241,18,516,3,1,10,52.39
8.26,262,273,23,899,0,4,4,56.54
7.0,255,138,74,1910,3,2,2,62.61
9.37,182,174,43,1591,4,0,5,57.54
6.89,270,191,7,2013,4,0,1,47.6
8.93,170,96,64,536,0,4,8,57.56
6.96,374,237,47,2339,2,3,1,65.3
6.05,321,199,19,1409,4,4,10,66.39
8.77,185,32,76,15,4,1,1,52.34
9.07,130,20,50,1797,0,4,4,54.58
8.46,150,147,70,1613,0,1,10,53.53
8.41,35,39,56,1154,2,4,2,56.06
9.04,467,279,16,1930,2,2,3,62.43
6.48,386,205,25,1059,4,4,7,66.76
7.98,270,196,32,835,1,0,6,43.46
8.6,462,225,65,62,5,3,2,73.28
9.37,146,237,75,1259,4,1,6,68.4
9.73,300,116,58,2210,0,3,2,60.87
9.06,292,231,54,256,4,0,4,57.18
8.72,218,164,46,174,5,4,1,67.31
9.09,456,238,64,1012,2,0,4,59.04
9.36,461,80,68,1432,2,2,10,66.27
9.53,229,134,13,1771,1,0,7,44.11
7.97,484,89,34,1253,4,4,10,70.63
6.55,44,258,22,431,1,4,9,52.47
8.53,318,297,80,997,0,4,7,71.52
8.32,423,67,28,1182,2,0,3,43.57
6.78,208,115,71,63,3,4,4,61.05
7.83,397,5,46,786,4,1,8,53.73
6.62,270,93,34,1271,0,0,3,34.24
7.14,284,103,26,1248,0,0,6,35.81
7.84,489,248,72,685,1,2,3,61.66
7.57,234,57,74,1726,1,1,3,50.19
7.59,470,259,18,634,5,3,5,67.72
7.01,291,98,70,338,5,3,3,64.82
9.64,292,201,73,431,3,1,1,60.65
8.72,222,211,42,73,5,3,2,64.85
9.17,78,143,39,1406,2,2,4,53.74
8.59,158,76,43,2042,1,0,9,46.48
7.63,144,89,2,2056,5,0,4,46.72
7.08,267,6,20,1654,4,3,6,55.29
7.31,462,53,54,768,5,3,8,67.58
7.17,195,16,49,1502,5,2,7,59.3
7.9,120,253,19,890,3,3,7,58.71
6.25,17,100,79,1968,2,2,2,53.96
7.8,189,236,62,238,3,0,4,51.64
8.68,175,249,38,2276,2,3,5,66.1
8.28,107,173,33,742,0,0,4,36.35
7.8,286,173,62,2422,0,0,1,48.91
7.93,481,263,5,1460,5,2,5,65.85
7.37,112,274,9,676,1,1,8,42.63
8.57,348,45,68,1731,3,2,4,62.68
9.55,142,292,34,1294,0,2,6,55.1
7.64,183,251,69,1100,5,1,2,65.34
7.93,270,40,46,1636,2,0,10,47.95
8.9,397,106,0,1607,3,2,2,52.32
6.78,338,167,28,266,1,3,9,50.71
6.84,257,260,71,2166,3,2,2,67.67
9.05,53,191,21,257,5,3,4,59.8
9.78,160,237,52,167,0,3,10,58.27
8.47,116,52,45,889,0,0,3,34.37
7.21,83,56,5,725,2,1,4,33.58
9.41,207,116,57,1529,2,4,9,69.08
6.17,264,90,36,2407,5,1,4,57.29
9.59,178,235,68,2284,0,4,8,72.31
7.77,211,31,60,64,0,1,7,38.91
6.15,39,156,37,756,3,2,3,47.13
8.3,375,85,53,991,0,4,9,59.4
6.17,369,160,41,1037,5,2,3,60.48
7.15,240,17,43,2052,0,3,9,50.84
6.79,428,95,42,784,0,0,5,37.74
8.31,365,142,37,1853,0,3,7,57.24
6.38,45,168,38,2414,1,1,3,45.23
9.81,336,67,42,2375,1,3,6,62.3
9.08,195,217,45,2156,3,2,2,64.52
6.42,306,52,48,192,0,0,8,33.58
8.84,228,269,62,1775,5,2,7,76.81
8.09,77,100,62,1265,1,2,10,53.6
9.43,340,233,63,159,5,2,3,70.07
9.09,389,198,21,602,5,2,10,66.17
7.01,495,27,32,961,1,4,8,54.86
7.33,223,207,60,1907,0,3,4,58.64
8.2,36,261,61,1049,1,4,4,63.05
7.13,8,199,79,1430,1,0,5,48.38
7.61,50,171,22,186,1,4,1,46.23
8.54,176,69,49,1484,1,3,6,55.03
8.49,22,274,28,2087,0,0,8,45.89
6.06,379,217,41,1692,0,3,4,54.57
7.65,469,200,70,1698,5,2,8,77.22
9.73,342,96,50,2455,5,3,9,78.72
6.8,364,106,3,1060,1,0,5,33.97
9.41,296,158,29,764,1,4,9,60.87
8.37,341,130,73,101,2,4,1,62.99
7.19,433,84,30,1620,2,1,3,48.02
8.05,220,133,38,1465,4,2,2,58.42
9.8,266,0,64,1834,2,1,4,54.94
6.99,67,68,67,1338,2,0,4,43.69
8.76,440,284,21,824,1,3,4,59.4
8.09,360,252,15,853,3,2,10,59.74
8.26,196,125,28,195,2,2,6,47.19
7.32,46,29,64,879,5,1,1,51.3
6.96,68,156,5,1769,2,4,4,52.26
6.67,98,55,53,2166,2,1,3,46.96
7.42,57,231,41,2245,2,0,1,48.16
6.84,319,188,66,2368,1,2,7,62.15
7.03,488,24,54,144,5,4,1,64.03
7.93,53,206,75,1085,1,3,3,59.1
9.51,395,270,22,2455,4,1,10,70.84
6.04,46,169,45,1394,2,4,9,59.09
6.35,486,259,61,188,2,1,1,53.28
6.47,287,70,64,359,0,4,4,50.77
6.67,129,139,67,850,0,2,8,48.43
9.78,126,151,60,2106,2,3,6,67.54
6.23,199,29,21,1832,1,1,9,39.32
6.76,223,12,22,1780,0,3,4,42.06
9.51,287,232,8,753,0,4,2,53.4
8.89,401,43,65,1947,5,2,6,71.39
9.29,373,46,63,1992,3,0,8,59.17
9.52,337,139,57,2330,4,1,5,68.25
6.86,258,95,27,1566,1,0,2,36.97
9.27,213,125,17,958,2,4,7,58.47
7.09,429,113,4,2482,1,1,8,46.99
8.14,412,57,5,664,0,3,9,44.5
6.25,52,134,22,1474,3,0,8,41.71
9.9,269,250,8,1683,2,3,5,62.09
6.62,340,295,3,430,3,4,6,59.76
8.88,455,138,24,608,2,1,6,50.24
8.18,61,142,25,200,1,0,6,34.5
9.64,207,105,54,1101,2,4,2,63.32
7.13,330,278,21,2005,2,2,5,58.62
8.65,57,297,43,1635,2,2,5,60.69
6.69,162,101,35,437,4,0,6,43.32
